1.38,4,4,3.001
1.61,4,4,3.677
1.84,4,4,3.925
2.07,4,4,4.075
2.3,4,4,4.323
2.53,4,4,4.999
2.76,8,8,6.996
2.99,8,8,7.664
3.22,8,8,7.887
3.45,8,8,7.962
3.68,8,8,7.987
3.91,8,8,7.994
,,,
0,0,0,0.142
0.22,0,0,0.218
0.44,0,0,0.412
0.66,0,0,0.827
0.88,0,0,1.687
1.1,5,5,3.455
1.32,5,5,4.391
1.54,5,5,5
1.76,5,5,5.609
1.98,5,5,6.545
2.2,10,10,8.313
2.42,10,10,9.173
2.64,10,10,9.588
2.86,10,10,9.782
3.08,10,10,9.858
,,,
0,0,0,1.17
0.1,0,0,1.407
0.2,0,0,1.929
0.3,0,0,2.841
0.4,6,6,4.329
0.5,6,6,5.478
0.6,6,6,6.522
0.7,6,6,7.671
0.8,12,12,9.159
0.9,12,12,10.071
1,12,12,10.593
1.1,12,12,10.83
,,,
0,0,0,0.065
0.1,0,0,0.081
0.2,0,0,0.117
0.3,0,0,0.183
0.4,0,0,0.294
0.5,0,0,0.478
0.6,0,0,0.782
0.7,2,2,1.282
0.8,2,2,1.602
0.9,2,2,1.823
1,2,2,2
1.1,2,2,2.177
1.2,2,2,2.398
1.3,2,2,2.718
1.4,4,4,3.218
1.5,4,4,3.522
